date,sales
03-01-19,0.1
04-01-19,0.8
04-01-19,0
05-01-19,0.1
07-01-19,0
09-01-19,0
10-01-19,0.4
10-01-19,0.1
10-01-19,0.1
11-01-19,0
11-01-19, -   
12-01-19,0
12-01-19,0.1
13-01-19,0
14-01-19,0
14-01-19, -   
15-01-19, -   
16-01-19, -   
16-01-19,0.2
17-01-19,0
18-01-19,0
18-01-19,0.1
18-01-19,0.1
19-01-19,0.1
19-01-19,0.1
21-01-19, -   
21-01-19,0.1
21-01-19, -   
22-01-19,0.1
23-01-19, -   
23-01-19,0.1
24-01-19,0
24-01-19, -   
24-01-19, -   
24-01-19, -   
25-01-19,0.2
25-01-19, -   
25-01-19,0.1
25-01-19,0.1
25-01-19,0.2
25-01-19,0.1
26-01-19,0.2
28-01-19, -   
28-01-19,0
28-01-19, -   
28-01-19, -   
28-01-19, -   
28-01-19, -   
28-01-19, -   
29-01-19,0.2
29-01-19,0.1
29-01-19, -   
29-01-19, -   
29-01-19, -   
30-01-19,0.2
30-01-19,0.2
30-01-19, -   
30-01-19, -   
30-01-19,0.2
31-01-19,0.1
31-01-19,0.6
31-01-19, -   
01-02-19,0.2
02-02-19,0.2
07-02-19,0.3
07-02-19,0.4
07-02-19,0.2
08-02-19,0.1
08-02-19,0.1
08-02-19, -   
08-02-19, -   
11-02-19, -   
11-02-19, -   
11-02-19, -   
11-02-19, -   
12-02-19, -   
12-02-19, -   
12-02-19, -   
12-02-19, -   
12-02-19, -   
12-02-19, -   
12-02-19, -   
12-02-19, -   
12-02-19, -   
12-02-19, -   
13-02-19, -   
13-02-19, -   
13-02-19, -   
13-02-19, -   
13-02-19, -   
14-02-19, -   
14-02-19, -   
15-02-19,0.3
15-02-19, -   
18-02-19, -   
18-02-19, -   
19-02-19, -   
20-02-19, -   
20-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
21-02-19, -   
22-02-19, -   
25-02-19, -   
25-02-19, -   
26-02-19, -   
26-02-19, -   
26-02-19, -   
26-02-19, -   
26-02-19, -   
27-02-19, -   
27-02-19, -   
27-02-19, -   
28-02-19, -   
28-02-19, -   
28-02-19, -   
28-02-19, -   
04-03-19,0.1
06-03-19, -   
07-03-19,0.2
07-03-19, -   
08-03-19, -   
12-03-19, -   
12-03-19, -   
12-03-19, -   
12-03-19, -   
13-03-19, -   
14-03-19, -   
14-03-19, -   
16-03-19, -   
19-03-19, -   
19-03-19, -   
19-03-19, -   
21-03-19,0.2
21-03-19, -   
22-03-19, -   
23-03-19, -   
23-03-19,0.2
23-03-19, -   
23-03-19, -   
23-03-19, -   
23-03-19, -   
25-03-19, -   
25-03-19, -   
25-03-19, -   
25-03-19, -   
26-03-19,0.1
26-03-19, -   
27-03-19, -   
08-04-19, -   
11-04-19, -   
11-04-19, -   
12-04-19, -   
18-04-19, -   
22-04-19,0
22-04-19, -   
22-04-19, -   
23-04-19, -   
23-04-19, -   
30-04-19, -   
08-05-19, -   
09-05-19, -   
09-05-19, -   
09-05-19, -   
10-05-19, -   
11-05-19, -   
14-05-19, -   
14-05-19, -   
16-05-19, -   
16-05-19, -   
17-05-19, -   
20-05-19, -   
20-05-19, -   
23-05-19, -   
23-05-19, -   
23-05-19, -   
24-05-19, -   
24-05-19, -   
25-05-19, -   
28-05-19, -   
29-05-19, -   
05-06-19, -   
06-06-19, -   
06-06-19, -   
06-06-19, -   
08-06-19,0.2
10-06-19,0.2
11-06-19,0.3
11-06-19, -   
11-06-19,0.1
12-06-19,0.4
12-06-19,0.3
13-06-19,0.2
13-06-19,2.3
13-06-19,0
13-06-19,3
13-06-19,1.7
13-06-19,5.8
13-06-19,0.3
14-06-19,7.7
14-06-19, -   
14-06-19,0.2
14-06-19,3.1
15-06-19,0.7
15-06-19,0.7
15-06-19,0.2
15-06-19,0.7
15-06-19,0.7
15-06-19,0.7
15-06-19,0.7
15-06-19,0.1
15-06-19,0.7
15-06-19,0.3
15-06-19,0.7
15-06-19,0.7
15-06-19,0.7
17-06-19,0.3
17-06-19,0.2
18-06-19, -   
18-06-19,0.3
18-06-19,0.7
19-06-19, -   
19-06-19,0.3
19-06-19,1.7
20-06-19,1.2
20-06-19,1.7
20-06-19,0.2
20-06-19,0.1
20-06-19,0.1
21-06-19,0.1
21-06-19,0.2
21-06-19,0.2
21-06-19,0.3
21-06-19,0.1
21-06-19,0.4
21-06-19,0.3
21-06-19,0.3
21-06-19,0.1
21-06-19,0.1
21-06-19,0.1
21-06-19,0.5
21-06-19,0.3
21-06-19,0.4
21-06-19,0.1
21-06-19,0.3
21-06-19,0.4
21-06-19,0.3
21-06-19, -   
21-06-19,0.1
21-06-19,0.3
21-06-19,0.3
21-06-19, -   
21-06-19,0.1
21-06-19,0.1
21-06-19,0.2
21-06-19,0.1
21-06-19,0.4
21-06-19,0.1
21-06-19,0.4
21-06-19,0.8
21-06-19,0.3
21-06-19,0.4
21-06-19,0.3
21-06-19,0.2
21-06-19,0.2
21-06-19,0.2
21-06-19,0.1
21-06-19,0.4
21-06-19,0.2
21-06-19,0.4
21-06-19,0.1
21-06-19,0.3
21-06-19,0.4
22-06-19,0.4
22-06-19,0.3
22-06-19,0.3
22-06-19,0.3
22-06-19,0.3
22-06-19,0.3
22-06-19,0.2
22-06-19,0.1
22-06-19,0
22-06-19,0.3
22-06-19,0.3
22-06-19,0.3
22-06-19,0.3
22-06-19,0.3
22-06-19,0.4
22-06-19, -   
22-06-19,0.3
22-06-19,0.1
22-06-19,0.3
22-06-19,0.7
22-06-19,0.4
22-06-19,0.3
22-06-19,0.8
22-06-19,0.3
24-06-19,0.2
24-06-19,0.3
25-06-19, -   
25-06-19,0.3
25-06-19,0.8
25-06-19,0.1
26-06-19,0.5
26-06-19,0.3
26-06-19,0.3
26-06-19,0.3
26-06-19,1.3
26-06-19,0.2
26-06-19,0.2
26-06-19,0.4
26-06-19,0.3
26-06-19,0.3
26-06-19,1.7
26-06-19,0.2
27-06-19, -   
27-06-19,0.3
27-06-19,0.6
27-06-19,0.1
27-06-19,0.3
27-06-19,0.2
27-06-19,0
27-06-19,0.3
27-06-19,0.3
27-06-19,1
27-06-19,0.7
27-06-19,0.5
27-06-19,0.1
27-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.1
28-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0
28-06-19,0.2
28-06-19,0.1
28-06-19,0.1
28-06-19,0.2
28-06-19,0.2
28-06-19,0.2
28-06-19,0.1
28-06-19,0.2
